date,graph0,graph1,graph2,graph3,graph4,graph5,graph6,graph7,graph8
1900,8.93,4.95,3.77,2.55,4.63,0.94,9.18,3.61,5.63
1910,5.6,2.34,1.32,7,3.14,5.55,0.48,6.69,7.48
1920,1.47,7.19,9.52,7.97,6.02,2.59,1.68,7.66,4.92
1930,0.87,1.39,6.47,7.06,6.68,0.17,9.59,2.48,2.12
1940,0.36,3.93,2.42,8.05,4.53,6.38,6.62,7.48,9.58
1950,2.71,5.25,5.43,3.78,7.47,4.54,3.92,1.08,6.67
1960,1.1,7.35,0.63,4.43,9.2,5.31,0.85,6.22,1.38
1970,6.73,0.23,8.77,3.87,9.36,9.54,8.42,9.98,6.3
1980,5.45,0.94,1.99,4.62,2.54,2.42,9.48,4.72,1.17
1990,7.87,1.64,7.43,6.61,3.06,0.69,7.41,9.05,1.85
2000,5.94,5.26,1.33,7.79,3.26,1.48,4.72,8.81,0.88
