date,graph0,graph1,graph2,graph3,graph4,graph5,graph6,graph7,graph8
1900,8.81,8.38,6.88,7.13,7.35,1.38,1.12,7.61,9.7
1910,6.65,0.43,0.11,4.22,3.4,1.13,7.55,2.16,2.28
1920,6.16,7.71,0.37,0.56,5.41,8.01,3.04,4.97,2.72
1930,1.34,2.93,0.66,9.94,0.17,9.57,6.03,1.95,5.33
1940,2.66,3.17,8.8,8.84,7.37,9.81,6.93,2.43,1.48
1950,5.59,5.29,5.88,9.68,8.52,7.57,7.04,2.52,3.33
1960,4.44,4.11,6.46,0.47,3.19,9.24,3.36,4.19,4.3
1970,2.65,6.84,8.21,3.17,2.71,2.47,5.95,0.61,0.7
1980,2.4,1.05,9.65,9.6,7.61,4.72,1,5.16,4.5
1990,9.78,7.51,7.79,2.84,5.98,0.07,0.89,8.63,0.52
2000,1.09,9.71,9.53,5.31,5.14,2.62,1.46,5.07,6.61
