date,graph0,graph1,graph2,graph3,graph4,graph5,graph6,graph7,graph8
1900,9.53,8.78,1.1,8.1,9.78,5.75,7.84,1.56,4.07
1910,0.82,7.98,4.56,2.12,2.55,3.45,4.62,1.75,7.06
1920,2.27,1.91,2.75,6,6.64,4.88,6.14,1.1,4.58
1930,4.44,9.73,8.8,9.42,10,9.03,9.05,8.88,0.29
1940,0.52,7.22,8.14,8.43,9.77,4.08,2.39,0.77,1.64
1950,3.13,7,9.41,8.75,2.35,9.99,9.42,4.12,7.77
1960,0.16,1.57,2.43,6.63,9.79,8.79,3.71,0.11,5.09
1970,0.69,7.71,8.5,2.58,7.67,9.22,3.63,3.66,5.34
1980,4.77,9.73,4,5.83,3.81,9.69,4.73,0.76,2.77
1990,7.91,6.49,2.71,9.61,8.85,5.91,2.7,7.57,2.82
2000,8.03,4.74,7.75,7.31,5.57,8.36,6.03,0.76,3.52
