date,graph0,graph1,graph2,graph3,graph4,graph5,graph6,graph7,graph8,graph9,graph10,graph11,graph12,graph13,graph14,graph15
1900,9.53,8.78,1.10,8.10,9.78,5.75,7.84,1.56,4.07,0.79,6.30,5.81,3.76,2.67,5.10,1.81
1910,0.82,7.98,4.56,2.12,2.55,3.45,4.62,1.75,7.06,5.86,8.94,3.22,2.12,9.84,5.88,3.42
1920,2.27,1.91,2.75,6.00,6.64,4.88,6.14,1.10,4.58,5.04,3.02,0.68,0.75,8.02,2.95,5.09
1930,4.44,9.73,8.80,9.42,10.00,9.03,9.05,8.88,0.29,4.84,3.05,8.11,1.85,2.10,3.07,9.12
1940,0.52,7.22,8.14,8.43,9.77,4.08,2.39,0.77,1.64,1.58,4.95,8.34,6.66,7.94,3.06,3.50
1950,3.13,7.00,9.41,8.75,2.35,9.99,9.42,4.12,7.77,9.34,0.18,0.05,8.39,7.44,8.91,9.16
1960,0.16,1.57,2.43,6.63,9.79,8.79,3.71,0.11,5.09,9.73,8.69,2.56,0.51,7.36,3.66,9.23
1970,0.69,7.71,8.50,2.58,7.67,9.22,3.63,3.66,5.34,1.44,3.16,4.79,1.70,5.57,0.94,2.19
1980,4.77,9.73,4.00,5.83,3.81,9.69,4.73,0.76,2.77,2.17,5.15,1.63,1.25,0.10,2.98,9.31
1990,7.91,6.49,2.71,9.61,8.85,5.91,2.70,7.57,2.82,2.19,1.22,7.48,8.32,6.79,6.30,5.60
2000,8.03,4.74,7.75,7.31,5.57,8.36,6.03,0.76,3.52,4.40,3.57,4.46,4.20,0.57,2.31,6.53
