date,graph0,graph1,graph2,graph3,graph4,graph5,graph6,graph7,graph8,graph9,graph10,graph11,graph12,graph13,graph14,graph15
1900,8.81,8.38,6.88,7.13,7.35,1.38,1.12,7.61,9.70,8.99,3.61,7.13,6.35,2.33,8.17,2.71
1910,6.65,0.43,0.11,4.22,3.40,1.13,7.55,2.16,2.28,8.92,7.08,5.89,4.91,0.33,0.86,1.95
1920,6.16,7.71,0.37,0.56,5.41,8.01,3.04,4.97,2.72,6.04,3.93,7.41,6.05,1.42,5.87,2.40
1930,1.34,2.93,0.66,9.94,0.17,9.57,6.03,1.95,5.33,5.01,1.96,0.96,1.66,3.03,5.23,6.51
1940,2.66,3.17,8.80,8.84,7.37,9.81,6.93,2.43,1.48,2.14,4.33,0.63,1.21,2.60,3.25,8.55
1950,5.59,5.29,5.88,9.68,8.52,7.57,7.04,2.52,3.33,0.11,8.64,6.87,9.35,4.47,2.65,9.05
1960,4.44,4.11,6.46,0.47,3.19,9.24,3.36,4.19,4.30,4.43,7.93,2.92,9.08,9.37,0.38,2.32
1970,2.65,6.84,8.21,3.17,2.71,2.47,5.95,0.61,0.70,6.55,4.83,4.95,3.18,5.61,3.37,9.57
1980,2.40,1.05,9.65,9.60,7.61,4.72,1.00,5.16,4.50,5.99,4.95,7.48,8.52,9.67,5.12,9.35
1990,9.78,7.51,7.79,2.84,5.98,0.07,0.89,8.63,0.52,2.76,6.75,4.02,9.01,9.03,2.07,3.26
2000,1.09,9.71,9.53,5.31,5.14,2.62,1.46,5.07,6.61,1.09,4.20,4.98,4.86,7.83,3.25,2.18
